CCTV Junction No.,camera_count,location,latitude,longitude,traffic_volume,average_speed,accident_count,pedestrian_density,congestion_level,weather_risk,night_time_risk,officer_present,speed_risk,traffic_volume_norm,accident_count_norm,pedestrian_density_norm,congestion_level_norm,weather_risk_norm,night_time_risk_norm,speed_risk_norm,risk_score,risk_category,risk_reason
20,2,Alankar talkies square,21.134947496823766,79.086170966977,3240,46,1,16,9,0,0,0,6,0.6089186176142698,0.1111111111111111,0.06741573033707865,0.8888888888888888,0.0,0.0,0.20689655172413793,31.93,LOW,High congestion
21,2,Shankar Nagar square,21.17342234736669,79.12627431651374,2789,21,3,53,6,5,3,0,19,0.5083612040133779,0.3333333333333333,0.48314606741573035,0.5555555555555556,1.0,0.6,0.6551724137931034,50.3,MEDIUM,Weather-related risk
22,2,Y Point Children park,21.116739263278248,79.02096585649394,1739,35,1,77,8,1,4,0,5,0.27424749163879597,0.1111111111111111,0.7528089887640449,0.7777777777777778,0.2,0.8,0.1724137931034483,38.5,LOW,"High congestion, High pedestrian density"
23,2,Laxmi Bhavan square,21.135057357824227,79.11929009677898,625,34,2,43,10,0,2,0,6,0.025863991081382386,0.2222222222222222,0.3707865168539326,1.0,0.0,0.4,0.20689655172413793,31.81,LOW,High congestion
24,2,Gyara Majali Building,21.143963421195245,79.03024409800716,4565,40,5,75,4,0,0,0,0,0.9043478260869565,0.5555555555555556,0.7303370786516854,0.3333333333333333,0.0,0.0,0.0,50.71,MEDIUM,"Heavy traffic volume, High pedestrian density"
25,1,Lendra park T point,21.154728398106045,79.02454839142986,4812,18,4,78,2,0,0,0,22,0.9594202898550724,0.4444444444444444,0.7640449438202247,0.1111111111111111,0.0,0.0,0.7586206896551724,53.24,MEDIUM,"Heavy traffic volume, High pedestrian density, Unsafe speed pattern"
26,2,Kachipura square,21.194221115367164,79.02463986968965,4368,60,3,64,2,2,1,0,20,0.8604236343366778,0.3333333333333333,0.6067415730337079,0.1111111111111111,0.4,0.2,0.6896551724137931,47.87,MEDIUM,Heavy traffic volume
27,1,Futala lake open place,21.123960853859003,79.1221862080347,1708,66,3,19,9,2,4,1,26,0.2673355629877369,0.3333333333333333,0.10112359550561797,0.8888888888888888,0.4,0.8,0.896551724137931,45.16,MEDIUM,"High congestion, Unsafe speed pattern"
28,1,Ambazari Talav area,21.161708132609636,79.09977958310444,3749,36,5,51,1,3,5,1,4,0.7224080267558528,0.5555555555555556,0.4606741573033708,0.0,0.6,1.0,0.13793103448275862,47.4,MEDIUM,Heavy traffic volume
29,1,Telankhadi Garden open place,21.171089748263448,79.07845981371537,1418,29,3,50,7,1,2,0,11,0.20267558528428092,0.3333333333333333,0.449438202247191,0.6666666666666666,0.2,0.4,0.3793103448275862,37.59,LOW,No major risk factors
30,1,Ambazari T point,21.1055740495264,79.05382457261852,4423,54,2,86,3,0,3,0,14,0.8726867335562988,0.2222222222222222,0.8539325842696629,0.2222222222222222,0.0,0.6,0.4827586206896552,48.09,MEDIUM,"Heavy traffic volume, High pedestrian density"
31,1,Juna Amravati Naka,21.172905382228173,79.13158008112197,4903,35,1,78,3,0,1,0,5,0.9797101449275363,0.1111111111111111,0.7640449438202247,0.2222222222222222,0.0,0.2,0.1724137931034483,40.45,MEDIUM,"Heavy traffic volume, High pedestrian density"
32,2,Ravi nagar square,21.120462894842476,79.0588667661134,2469,29,2,19,2,0,2,1,11,0.43701226309921964,0.2222222222222222,0.10112359550561797,0.1111111111111111,0.0,0.4,0.3793103448275862,24.38,LOW,No major risk factors
33,1,Futala lake y point,21.107806191158236,79.12248991592074,3293,36,1,19,10,0,4,0,4,0.6207357859531772,0.1111111111111111,0.10112359550561797,1.0,0.0,0.8,0.13793103448275862,37.64,LOW,High congestion
34,1,Futala lake vadache jhad point,21.2138662644704,79.06587023628553,1391,66,2,69,6,2,2,1,26,0.19665551839464884,0.2222222222222222,0.6629213483146067,0.5555555555555556,0.4,0.4,0.896551724137931,41.84,MEDIUM,Unsafe speed pattern
35,3,Ram nagar square,21.21587584396895,79.05654166441374,4970,42,1,60,10,5,0,1,2,0.9946488294314382,0.1111111111111111,0.5617977528089888,1.0,1.0,0.0,0.06896551724137931,52.34,MEDIUM,"Heavy traffic volume, High congestion, Weather-related risk"
36,2,Bajaj nagar square,21.197007681773975,79.06940196785044,2533,28,3,30,2,5,0,1,12,0.4512820512820513,0.3333333333333333,0.2247191011235955,0.1111111111111111,1.0,0.0,0.41379310344827586,33.2,LOW,Weather-related risk
37,2,LAD Square,21.136553652300805,79.04520668112463,1864,41,3,17,10,3,1,1,1,0.30211817168338906,0.3333333333333333,0.07865168539325842,1.0,0.6,0.2,0.034482758620689655,36.57,LOW,High congestion
38,2,Ladies Club square,21.111720653680766,79.11214140702644,628,55,6,74,4,4,4,0,15,0.02653288740245262,0.6666666666666666,0.7191011235955056,0.3333333333333333,0.8,0.8,0.5172413793103449,49.49,MEDIUM,"High pedestrian density, Weather-related risk"
39,2,LAW College square,21.182107963181462,79.07540805851387,1514,54,5,87,10,1,4,0,14,0.22408026755852842,0.5555555555555556,0.8651685393258427,1.0,0.2,0.8,0.4827586206896552,58.95,MEDIUM,"High congestion, High pedestrian density"
40,1,Coffee house square,21.152818299248754,79.03483190427202,2299,42,6,94,9,5,2,1,2,0.399108138238573,0.6666666666666666,0.9438202247191011,0.8888888888888888,1.0,0.4,0.06896551724137931,63.16,MEDIUM,"High congestion, High pedestrian density, Weather-related risk"
41,1,Bajaj nagar,21.114644588181374,79.13493618599118,2018,40,1,39,9,0,1,0,0,0.33645484949832777,0.1111111111111111,0.3258426966292135,0.8888888888888888,0.0,0.2,0.0,29.28,LOW,High congestion
42,1,Opp Wockhart Hospital,21.159421229213354,79.05758368320598,4681,63,2,94,6,5,4,0,23,0.9302118171683389,0.2222222222222222,0.9438202247191011,0.5555555555555556,1.0,0.8,0.7931034482758621,64.69,MEDIUM,"Heavy traffic volume, High pedestrian density, Unsafe speed pattern, Weather-related risk"
43,2,Bharat nagar T Point,21.104126622533826,79.0815329291671,1698,16,4,58,4,3,5,0,24,0.26510590858416944,0.4444444444444444,0.5393258426966292,0.3333333333333333,0.6,1.0,0.8275862068965517,48.0,MEDIUM,Unsafe speed pattern
44,1,Near Madrasi Mandir,21.209118448249455,79.13597081664469,4373,39,2,18,7,4,5,0,1,0.8615384615384616,0.2222222222222222,0.0898876404494382,0.6666666666666666,0.8,1.0,0.034482758620689655,44.59,MEDIUM,"Heavy traffic volume, Weather-related risk"
45,1,Pandharbodi,21.131053597792004,79.0936356993871,2974,17,1,26,1,5,0,1,23,0.5496098104793757,0.1111111111111111,0.1797752808988764,0.0,1.0,0.0,0.7931034482758621,29.95,LOW,"Unsafe speed pattern, Weather-related risk"
46,1,Gokulpeth market,21.179502674122478,79.01753470610626,3985,22,4,78,4,3,2,0,18,0.7750278706800446,0.4444444444444444,0.7640449438202247,0.3333333333333333,0.6,0.4,0.6206896551724138,56.5,MEDIUM,"Heavy traffic volume, High pedestrian density"
47,1,Abhyankar Nagar Road,21.13740532913073,79.14097481854202,4549,58,4,67,5,2,3,0,18,0.9007803790412486,0.4444444444444444,0.6404494382022472,0.4444444444444444,0.4,0.6,0.6206896551724138,58.83,MEDIUM,Heavy traffic volume
48,1,Telankhedi Area,21.16240816254134,79.09415620796071,4219,47,1,66,8,4,0,1,7,0.8272017837235228,0.1111111111111111,0.6292134831460674,0.7777777777777778,0.8,0.0,0.2413793103448276,47.4,MEDIUM,"Heavy traffic volume, High congestion, Weather-related risk"
49,1,Ambazari Bay Bas Road,21.165605233521195,79.05023584219856,802,56,4,71,2,3,1,1,16,0.0653288740245262,0.4444444444444444,0.6853932584269663,0.1111111111111111,0.6,0.2,0.5517241379310345,36.1,LOW,No major risk factors
50,1,Shivaji Nagar Gardan,21.122182534663065,79.0208908108995,4452,66,3,61,5,5,4,0,26,0.8791527313266444,0.3333333333333333,0.5730337078651685,0.4444444444444444,1.0,0.8,0.896551724137931,60.81,MEDIUM,"Heavy traffic volume, Unsafe speed pattern, Weather-related risk"
51,1,Shivaji Nagar Basket ball ground,21.21635015533175,79.11910377839054,1486,49,1,70,6,2,0,0,9,0.21783723522853957,0.1111111111111111,0.6741573033707865,0.5555555555555556,0.4,0.0,0.3103448275862069,31.24,LOW,No major risk factors
52,1,Near carzy casal,21.193015938803335,79.09301091338928,2363,20,2,49,5,3,3,0,20,0.4133779264214047,0.2222222222222222,0.43820224719101125,0.4444444444444444,0.6,0.6,0.6896551724137931,41.07,MEDIUM,No major risk factors
53,1,Esasni Area,21.212739872987704,79.08001916379645,4940,53,1,47,9,3,3,0,13,0.9879598662207358,0.1111111111111111,0.4157303370786517,0.8888888888888888,0.6,0.6,0.4482758620689655,53.14,MEDIUM,"Heavy traffic volume, High congestion"
54,1,Waghdhara Area,21.20737928205132,79.13408388745765,3572,66,2,52,10,5,5,0,26,0.682943143812709,0.2222222222222222,0.47191011235955055,1.0,1.0,1.0,0.896551724137931,61.37,MEDIUM,"High congestion, Unsafe speed pattern, Weather-related risk"
55,1,SRPF Gate No.2,21.17174799745733,79.11828958168368,3624,37,2,72,1,4,1,0,3,0.6945373467112598,0.2222222222222222,0.6966292134831461,0.0,0.8,0.2,0.10344827586206896,37.04,LOW,Weather-related risk
56,1,Yashodhara nagar t point hingna road,21.210624908202774,79.02275123195992,1827,39,3,28,3,2,0,1,1,0.2938684503901895,0.3333333333333333,0.20224719101123595,0.2222222222222222,0.4,0.0,0.034482758620689655,24.59,LOW,No major risk factors
57,1,Gadge nagar t point hingna road,21.110619100246232,79.04675831016934,2908,64,4,59,2,0,2,0,24,0.5348940914158306,0.4444444444444444,0.550561797752809,0.1111111111111111,0.0,0.4,0.8275862068965517,44.23,MEDIUM,Unsafe speed pattern
58,1,SRPF Geat petrol pump bansi nagar hingna road,21.1235179434903,79.03727337097217,4173,57,4,42,3,1,0,0,17,0.8169453734671126,0.4444444444444444,0.3595505617977528,0.2222222222222222,0.2,0.0,0.5862068965517241,45.26,MEDIUM,Heavy traffic volume
59,1,Deshmukh treding company t point hingna road,21.105427274669267,79.1115919438859,3791,33,0,22,10,4,5,0,7,0.7317725752508362,0.0,0.1348314606741573,1.0,0.8,1.0,0.2413793103448276,43.07,MEDIUM,"Heavy traffic volume, High congestion, Weather-related risk"
60,1,Sent zeviyrs school t point hingana road,21.139039639691592,79.00502986521036,4533,19,3,87,9,2,3,0,21,0.8972129319955406,0.3333333333333333,0.8651685393258427,0.8888888888888888,0.4,0.6,0.7241379310344828,66.5,MEDIUM,"Heavy traffic volume, High congestion, High pedestrian density, Unsafe speed pattern"
61,1,CRPF gate t point hingana road,21.14664127476274,79.0854834527307,1203,65,0,71,9,3,1,1,25,0.15473801560758083,0.0,0.6853932584269663,0.8888888888888888,0.6,0.2,0.8620689655172413,39.33,LOW,"High congestion, Unsafe speed pattern"
62,1,IC Chowk t point hingana road,21.13256188381287,79.11436880286111,1074,25,3,52,10,2,1,0,15,0.12597547380156077,0.3333333333333333,0.47191011235955055,1.0,0.4,0.2,0.5172413793103449,42.77,MEDIUM,High congestion
63,2,Zone chowk hingana road,21.19944850109823,79.13151484551426,3732,26,1,58,2,1,2,0,14,0.7186176142697882,0.1111111111111111,0.5393258426966292,0.1111111111111111,0.2,0.4,0.4827586206896552,35.29,LOW,Heavy traffic volume
64,1,Rajiv nagar road hingna road,21.14281039920323,79.05131226230739,3132,24,4,45,3,5,1,0,16,0.5848383500557414,0.4444444444444444,0.39325842696629215,0.2222222222222222,1.0,0.2,0.5517241379310345,45.78,MEDIUM,Weather-related risk
65,1,Ycce college main gate hingana road,21.133712141162487,79.1231885957008,4328,22,5,19,4,1,5,1,18,0.8515050167224081,0.5555555555555556,0.10112359550561797,0.3333333333333333,0.2,1.0,0.6206896551724138,52.42,MEDIUM,Heavy traffic volume
66,1,Wanadongri t point,21.16512352997899,79.01659476054328,3730,38,1,15,9,0,5,0,2,0.7181716833890747,0.1111111111111111,0.056179775280898875,0.8888888888888888,0.0,1.0,0.06896551724137931,37.56,LOW,"Heavy traffic volume, High congestion"
67,1,Khadgaon Road,21.116910906996974,79.12696784376018,988,42,3,66,3,0,5,0,2,0.10680044593088071,0.3333333333333333,0.6292134831460674,0.2222222222222222,0.0,1.0,0.06896551724137931,30.6,LOW,No major risk factors
68,1,Wadi Naka No.10,21.196263637690485,79.0191232993498,1847,55,3,10,7,1,1,0,15,0.2983277591973244,0.3333333333333333,0.0,0.6666666666666666,0.2,0.2,0.5172413793103449,33.14,LOW,No major risk factors
69,1,Control Wadi,21.108946077241573,79.05959309358406,4181,50,3,80,3,4,1,1,10,0.8187290969899665,0.3333333333333333,0.7865168539325843,0.2222222222222222,0.8,0.2,0.3448275862068966,49.95,MEDIUM,"Heavy traffic volume, High pedestrian density, Weather-related risk"
70,1,MIDC Tarnign,21.218426432392064,79.11959430486694,3673,51,2,67,7,4,5,0,11,0.7054626532887402,0.2222222222222222,0.6404494382022472,0.6666666666666666,0.8,1.0,0.3793103448275862,53.18,MEDIUM,"Heavy traffic volume, Weather-related risk"
71,1,Katol Road BayPass,21.1926693723156,79.02248761410232,2167,35,3,30,7,3,1,0,5,0.36967670011148274,0.3333333333333333,0.2247191011235955,0.6666666666666666,0.6,0.2,0.1724137931034483,36.49,LOW,No major risk factors
72,1,KhadGaon Road tarnign,21.123845881784103,79.0343877092849,2137,22,3,89,9,0,1,0,18,0.3629877369007804,0.3333333333333333,0.8876404494382022,0.8888888888888888,0.0,0.2,0.6206896551724138,51.11,MEDIUM,"High congestion, High pedestrian density"
73,1,Dattawadi Square,21.100662654054833,79.10833788525896,4614,69,4,65,2,3,3,0,29,0.915273132664437,0.4444444444444444,0.6179775280898876,0.1111111111111111,0.6,0.6,1.0,58.58,MEDIUM,"Heavy traffic volume, Unsafe speed pattern"
74,1,Dattawadi Sarafa Bazar,21.197855371414583,79.1080054804819,4053,23,3,96,6,0,0,1,17,0.7901895206243033,0.3333333333333333,0.9662921348314607,0.5555555555555556,0.0,0.0,0.5862068965517241,54.49,MEDIUM,"Heavy traffic volume, High pedestrian density"
75,1,GuruDatta Socity,21.184822881261717,79.0961721449328,1500,61,1,29,9,1,4,1,21,0.220958751393534,0.1111111111111111,0.21348314606741572,0.8888888888888888,0.2,0.8,0.7241379310344828,36.53,LOW,"High congestion, Unsafe speed pattern"
76,1,PS Main Gate,21.18748086016492,79.10409226667007,1350,29,2,63,2,4,1,0,11,0.1875139353400223,0.2222222222222222,0.5955056179775281,0.1111111111111111,0.8,0.2,0.3793103448275862,29.81,LOW,Weather-related risk
77,2,8 th Mail Road,21.192552441602317,79.08140866650214,1888,62,4,34,2,4,4,0,22,0.30746934225195094,0.4444444444444444,0.2696629213483146,0.1111111111111111,0.8,0.8,0.7586206896551724,40.78,MEDIUM,"Unsafe speed pattern, Weather-related risk"
78,1,Ambedakar Nagar Square,21.10888535820809,79.03776985883604,4212,60,1,37,5,1,4,0,20,0.8256410256410256,0.1111111111111111,0.30337078651685395,0.4444444444444444,0.2,0.8,0.6896551724137931,42.96,MEDIUM,Heavy traffic volume
79,1,Davalamethi Road,21.143015887425314,79.05185439902559,1867,54,4,14,10,3,3,0,14,0.3027870680044593,0.4444444444444444,0.0449438202247191,1.0,0.6,0.6,0.4827586206896552,45.89,MEDIUM,High congestion
80,1,8 th Mail Market Road,21.11390428714302,79.02723965752021,1321,32,2,30,10,3,1,0,8,0.1810479375696767,0.2222222222222222,0.2247191011235955,1.0,0.6,0.2,0.27586206896551724,35.42,LOW,High congestion
81,1,Waddhamna Square,21.20357241110507,79.13626758420004,954,56,1,27,10,2,5,0,16,0.09921962095875139,0.1111111111111111,0.19101123595505617,1.0,0.4,1.0,0.5517241379310345,35.7,LOW,High congestion
82,1,Surabaldi Gaon Tranign,21.17479577521931,79.08750876921492,2124,34,5,56,8,0,4,0,6,0.3600891861761427,0.5555555555555556,0.5168539325842697,0.7777777777777778,0.0,0.8,0.20689655172413793,49.36,MEDIUM,High congestion
83,1,HighLand Park Tarnig,21.13970776298232,79.06012771251454,3272,20,6,79,9,3,1,0,20,0.6160535117056856,0.6666666666666666,0.7752808988764045,0.8888888888888888,0.6,0.2,0.6896551724137931,68.18,MEDIUM,"High congestion, High pedestrian density"
84,1,Dhammakirtinagar,21.107627002034324,79.06930087054663,4226,26,1,66,2,1,2,1,14,0.82876254180602,0.1111111111111111,0.6292134831460674,0.1111111111111111,0.2,0.4,0.4827586206896552,38.84,LOW,Heavy traffic volume
85,4,Outer ring road area ,21.13731787860588,79.14209250094177,3647,16,7,28,5,3,5,1,24,0.6996655518394649,0.7777777777777778,0.20224719101123595,0.4444444444444444,0.6,1.0,0.8275862068965517,63.3,MEDIUM,"High incident risk, Unsafe speed pattern"
86,1,Somalwada chowk,21.139021998643212,79.02300271046741,4589,21,4,74,7,4,2,1,19,0.9096989966555183,0.4444444444444444,0.7191011235955056,0.6666666666666666,0.8,0.4,0.6551724137931034,64.87,MEDIUM,"Heavy traffic volume, High pedestrian density, Weather-related risk"
87,1,Manish Nagar Railway,21.18755274140057,79.08793447480252,2690,30,3,12,6,0,2,0,10,0.4862876254180602,0.3333333333333333,0.02247191011235955,0.5555555555555556,0.0,0.4,0.3448275862068966,33.84,LOW,No major risk factors
88,1,Reliance Fresh,21.17650689656263,79.07588330183268,1416,17,3,51,6,5,4,1,23,0.20222965440356744,0.3333333333333333,0.4606741573033708,0.5555555555555556,1.0,0.8,0.7931034482758621,46.22,MEDIUM,"Unsafe speed pattern, Weather-related risk"
89,1,Purshottam Bazar Beltrodi,21.20646552910916,79.09171813531519,4486,59,0,30,7,2,2,0,19,0.8867335562987737,0.0,0.2247191011235955,0.6666666666666666,0.4,0.4,0.6551724137931034,41.66,MEDIUM,Heavy traffic volume
90,1,Padmavati T–Point,21.156665791019435,79.00271652757313,3375,17,3,49,3,0,3,0,23,0.6390189520624303,0.3333333333333333,0.43820224719101125,0.2222222222222222,0.0,0.6,0.7931034482758621,43.62,MEDIUM,Unsafe speed pattern
91,1,Chinch bhvan bus stop,21.114351309512596,79.13081858634162,1940,41,3,76,3,4,3,1,1,0.31906354515050167,0.3333333333333333,0.7415730337078652,0.2222222222222222,0.8,0.6,0.034482758620689655,38.18,LOW,"High pedestrian density, Weather-related risk"
92,1,Sahkar Nagar,21.185589374466762,79.13981774237254,4900,64,1,34,10,4,4,0,24,0.979041248606466,0.1111111111111111,0.2696629213483146,1.0,0.8,0.8,0.8275862068965517,58.23,MEDIUM,"Heavy traffic volume, High congestion, Unsafe speed pattern, Weather-related risk"
93,1,Wardha road Rajiv Nagar Square,21.19129420583403,79.08476997753839,1235,57,0,64,9,4,1,0,17,0.16187290969899665,0.0,0.6067415730337079,0.8888888888888888,0.8,0.2,0.5862068965517241,36.53,LOW,"High congestion, Weather-related risk"
94,2,Infront of Hotel Pride,21.167353263708343,79.10449762358154,4068,54,2,93,8,4,0,0,14,0.7935340022296544,0.2222222222222222,0.9325842696629213,0.7777777777777778,0.8,0.0,0.4827586206896552,57.02,MEDIUM,"Heavy traffic volume, High congestion, High pedestrian density, Weather-related risk"
95,2,Bhende layout Square,21.19251606159455,79.1383749071766,3838,52,4,61,5,1,1,0,12,0.7422519509476031,0.4444444444444444,0.5730337078651685,0.4444444444444444,0.2,0.2,0.41379310344827586,49.58,MEDIUM,Heavy traffic volume
96,2,Trimurti chowk,21.15925547156373,79.10608579514701,3515,47,6,53,6,2,1,0,7,0.6702341137123746,0.6666666666666666,0.48314606741573035,0.5555555555555556,0.4,0.2,0.2413793103448276,54.4,MEDIUM,No major risk factors
97,1,Sambhaji chowk,21.16272793952584,79.02288085643714,3389,42,3,94,10,5,1,0,2,0.6421404682274248,0.3333333333333333,0.9438202247191011,1.0,1.0,0.2,0.06896551724137931,58.69,MEDIUM,"High congestion, High pedestrian density, Weather-related risk"
98,1,Padole chowk,21.15130492220303,79.08644325402503,1461,15,3,65,1,4,1,1,25,0.21226309921962097,0.3333333333333333,0.6179775280898876,0.0,0.8,0.2,0.8620689655172413,37.14,LOW,"Unsafe speed pattern, Weather-related risk"
99,2,Pratap Nagar chowk,21.103050295209293,79.09100725695743,3489,69,2,64,10,4,5,0,29,0.6644370122630993,0.2222222222222222,0.6067415730337079,1.0,0.8,1.0,1.0,63.06,MEDIUM,"High congestion, Unsafe speed pattern, Weather-related risk"
100,2,Coca Cola chowk,21.112946971239197,79.06361960069536,4348,22,1,96,1,3,0,0,18,0.8559643255295429,0.1111111111111111,0.9662921348314607,0.0,0.6,0.0,0.6206896551724138,44.15,MEDIUM,"Heavy traffic volume, High pedestrian density"
101,1,Khamla market ,21.10377150228241,79.11046663534371,1526,51,0,79,4,2,5,0,11,0.22675585284280936,0.0,0.7752808988764045,0.3333333333333333,0.4,1.0,0.3793103448275862,31.96,LOW,High pedestrian density
102,1,Khamla maton market chowk,21.176369249351655,79.14015505221535,4365,46,2,86,2,0,2,0,6,0.8597547380156075,0.2222222222222222,0.8539325842696629,0.1111111111111111,0.0,0.4,0.20689655172413793,42.41,MEDIUM,"Heavy traffic volume, High pedestrian density"
103,1,Mokhare college,21.13772271772916,79.13883527693602,3363,62,6,96,7,2,1,1,22,0.6363433667781494,0.6666666666666666,0.9662921348314607,0.6666666666666666,0.4,0.2,0.7586206896551724,67.81,MEDIUM,"High pedestrian density, Unsafe speed pattern"
104,1,Jaytala bazaar chowk,21.161028482939766,79.06762590571061,3001,57,6,82,2,2,3,0,17,0.5556298773690078,0.6666666666666666,0.8089887640449438,0.1111111111111111,0.4,0.6,0.5862068965517241,55.78,MEDIUM,High pedestrian density
105,1,Hingna T point,21.20890797687113,79.01698570687611,2447,51,3,90,10,5,4,0,11,0.43210702341137125,0.3333333333333333,0.898876404494382,1.0,1.0,0.8,0.3793103448275862,59.92,MEDIUM,"High congestion, High pedestrian density, Weather-related risk"
106,2,Mangalmurti chowk,21.129915067497866,79.14772617984435,1677,18,3,75,2,2,4,0,22,0.2604236343366778,0.3333333333333333,0.7303370786516854,0.1111111111111111,0.4,0.8,0.7586206896551724,41.42,MEDIUM,"High pedestrian density, Unsafe speed pattern"
107,2,Shubhash nagar T pointVivekanand Statue,21.14924595076428,79.12583471296689,511,44,2,28,5,5,5,1,4,0.0004459308807134894,0.2222222222222222,0.20224719101123595,0.4444444444444444,1.0,1.0,0.13793103448275862,27.76,LOW,Weather-related risk
108,2,Mate chowk,21.19066613662517,79.01869940218049,4899,20,5,92,4,4,5,1,20,0.9788182831661093,0.5555555555555556,0.9213483146067416,0.3333333333333333,0.8,1.0,0.6896551724137931,70.96,HIGH,"Heavy traffic volume, High pedestrian density, Weather-related risk"
